Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE17088,13766,Mountain View,,,54.9792,-7.725
IE17089,13756,Céanann View,,,54.9733,-7.7267
IE17090,853000323,Pramerica,,,54.9655,-7.7317
IE17091,14595,Beinn Aoibhinn,Whitethorn Park,,54.9602,-7.7211
IE17092,13761,ATU Ballyraine,,,54.9536,-7.7211
IE17093,13758,An Grianán,,,54.9533,-7.73
IE17094,13760,Neil T Blaney Road,,,54.9472,-7.7196
IE17095,13770,Aura Leisure Centre,,,54.9472,-7.7512
IE17096,14593,Scoil Cholmcille,Cathedral Street,,54.9506,-7.743
IE17097,13764,Saint Eunan's College,,,54.9529,-7.745
IE17098,13754,Chestnut Grove,,,54.9608,-7.7578
IE17099,14594,Glendale Drive,,,54.9648,-7.7624
IE17100,853000305,Fairgreen Hill,,,54.9643,-7.7449
IE17101,13755,Long Lane,,,54.9594,-7.7374
IE17102,13759,High Road,,,54.954,-7.735
IE17103,14590,Dr McGinley Road,,,54.9574,-7.7483
IE17104,13757,Circular Road,,,54.9582,-7.7394
IE17105,14592,The Grange,,,54.9678,-7.7604
IE17106,13604,Oldtown Road,,,54.9465,-7.7413
IE17107,853000315,Ballymacool Estate,,,54.9447,-7.7571
IE17108,600051,Leitir Mhic an Bhaird,,,54.8555,-8.3093
IE17109,140651,Glenties,,,54.7967,-8.2826
IE17110,140621,Ardara,,,54.7623,-8.4148
IE17111,140441,Gleann Cholm Cille,,,54.7062,-8.7246
IE17112,140411,An Charraig,,,54.6579,-8.6336
IE17113,140401,Port Eachrann,,,54.6444,-8.6329
IE17114,635821,Killea,,,54.9783,-7.4094
IE17115,158231,Killea,,,54.9785,-7.4095
IE17116,155831,Stranorlar,,,54.8047,-7.7661
IE17117,140451,Port Eachrann,,,54.6445,-8.6329
IE17118,140471,Gleann Cholm Cille,,,54.7062,-8.7245
IE17119,141361,Castlefin,,,54.8015,-7.5925
IE17120,141331,Castlefin,,,54.8015,-7.5923
IE17121,142631,Leitir Mhic an Bhaird,,,54.8555,-8.3093
IE17122,141391,Glenties,,,54.7951,-8.2816
IE17123,142621,Ardara,Main Street,,54.762,-8.4128
IE17124,141111,Ardaghy Glebe,,,54.6539,-8.2858
IE17125,141281,Killybegs,Main Street,,54.6369,-8.4402
IE17126,152491,Lifford,,,54.8319,-7.4829
IE17127,559321,Bundoran East,,,54.481,-8.2721
IE17128,141311,Carrigans,,,54.9512,-7.4275
IE17129,11250,Quigley's Point,,Point Inn,55.1241,-7.1959
IE17130,13748,An Clochán,,Post Office,54.8414,-7.9342
IE17131,8530TR000047,Ulster Bank,Lower Main Street,Ulster Bank,54.9495,-7.7376
IE17132,8530TR000046,Four Lanterns Restaurant,Port Road,Four Lanterns Restaurant,54.9531,-7.7311
IE17133,8530TR000045,The Pulse Bar,Port Road,The Pulse Bar,54.9532,-7.7304
IE17134,8530TR000048,Pizzeria Restaurant,Market Square,Pizzeria Restaurant,54.9496,-7.7383
IE17135,8530TR000052,Lidl Supermarket,Letterkenny Retail Park,Lidl Supermarket,54.9457,-7.7358
IE17136,8530TR000051,Dunnes Stores,Oldtown Road,Dunnes Stores,54.946,-7.7407
